customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
0080-OROZO,No,Female,No,No,No,35,One year,Yes,Electronic check,99.25,3532.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
0082-LDZUE,No,Male,No,No,No,1,Month-to-month,Yes,Mailed check,44.3,44.3,Yes,No,DSL,No,No,No,No,No,No
0082-OQIQY,No,Male,No,No,No,29,Month-to-month,Yes,Electronic check,94.2,2607.6,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
0083-PIVIK,No,Male,No,No,No,64,One year,No,Electronic check,81.25,5567.55,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
0089-IIQKO,No,Female,No,Yes,Yes,39,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
0093-EXYQL,No,Female,Sí,No,No,40,Month-to-month,Yes,Electronic check,91.55,3673.6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
0093-XWZFY,Yes,Male,No,No,No,40,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
0094-OIFMO,Yes,Female,Sí,No,No,11,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
0096-BXERS,No,Female,No,Yes,No,6,Month-to-month,No,Electronic check,50.35,314.55,Yes,Yes,DSL,No,No,No,No,No,No
0096-FCPUF,No,Male,No,No,No,30,Month-to-month,Yes,Mailed check,64.5,1888.45,Yes,Yes,DSL,Yes,No,No,No,No,Yes
0098-BOWSO,No,Male,No,No,No,27,Month-to-month,Yes,Electronic check,19.4,529.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0100-DUVFC,No,Male,Sí,Yes,No,70,One year,Yes,Electronic check,104.8,7308.95,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
0103-CSITQ,No,Female,No,Yes,No,57,One year,Yes,Bank transfer (automatic),109.4,6252.7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0104-PPXDV,No,Male,No,Yes,No,58,One year,No,Credit card (automatic),50.3,2878.55,Yes,No,DSL,No,No,Yes,No,No,No
0106-GHRQR,No,Male,No,No,No,16,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes
0106-UGRDO,No,Female,No,Yes,No,69,Two year,Yes,Electronic check,116.0,8182.85,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0107-WESLM,Yes,Male,No,No,No,1,Month-to-month,Yes,Electronic check,19.85,19.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0107-YHINA,Yes,Male,No,No,Yes,1,Month-to-month,Yes,Electronic check,99.75,99.75,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
0111-KLBQG,No,Male,Sí,Yes,Yes,32,Month-to-month,Yes,Mailed check,93.95,2861.45,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
0112-QAWRZ,No,Male,No,Yes,Yes,16,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No
0112-QWPNC,Yes,Male,No,Yes,No,49,One year,No,Electronic check,84.35,4059.35,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
0114-IGABW,No,Female,No,Yes,No,71,Two year,No,Bank transfer (automatic),58.25,4145.9,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
0114-PEGZZ,No,Female,No,No,No,33,Month-to-month,No,Electronic check,107.55,3645.5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
0114-RSRRW,No,Female,No,Yes,No,10,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0115-TFERT,Yes,Male,No,Yes,No,21,Month-to-month,Yes,Electronic check,111.2,2317.1,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0117-LFRMW,Yes,Male,No,Yes,Yes,37,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
0118-JPNOY,No,Female,Sí,No,No,26,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,Yes,No,Fiber optic,Yes,No,No,No,Yes,No
0121-SNYRK,No,Male,No,No,No,50,One year,Yes,Mailed check,35.4,1748.9,No,No phone service,DSL,Yes,No,No,Yes,No,No
0122-OAHPZ,Yes,Female,No,No,No,7,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,Yes,Fiber optic,No,No,No,No,No,No
0123-CRBRT,No,Female,No,Yes,Yes,61,Two year,No,Mailed check,88.1,5526.75,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0125-LZQXK,Yes,Male,No,No,No,15,Month-to-month,Yes,Electronic check,101.35,1553.95,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
0128-MKWSG,No,Female,No,No,Yes,26,Month-to-month,No,Mailed check,45.8,1147.0,No,No phone service,DSL,Yes,No,No,Yes,No,Yes
0129-KPTWJ,No,Male,No,Yes,No,72,Month-to-month,Yes,Electronic check,94.65,6747.35,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
0129-QMPDR,No,Male,No,Yes,Yes,44,One year,Yes,Bank transfer (automatic),20.5,865.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0130-SXOUN,No,Male,No,No,No,66,Month-to-month,No,Credit card (automatic),89.4,5976.9,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
0133-BMFZO,Yes,Female,No,No,No,2,Month-to-month,Yes,Electronic check,86.25,181.65,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No
0134-XWXCE,No,Female,Sí,No,No,44,One year,No,Bank transfer (automatic),74.85,3268.05,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
0135-NMXAP,Yes,Female,No,No,No,12,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
0136-IFMYD,No,Male,Sí,Yes,No,69,Two year,Yes,Electronic check,109.95,7634.25,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0137-OCGAB,Yes,Female,No,No,No,1,Month-to-month,Yes,Mailed check,80.2,80.2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
0137-UDEUO,Yes,Female,No,No,No,3,Month-to-month,No,Mailed check,19.85,63.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0139-IVFJG,No,Female,No,Yes,No,2,Month-to-month,No,Electronic check,90.35,190.5,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No
0141-YEAYS,No,Female,Sí,No,No,27,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
0142-GVYSN,No,Male,No,No,No,26,Month-to-month,Yes,Electronic check,20.3,511.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0147-ESWWR,No,Female,Sí,Yes,No,39,Month-to-month,Yes,Electronic check,101.25,3949.15,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
0148-DCDOS,Yes,Male,No,No,No,25,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
0151-ONTOV,Yes,Female,No,No,No,1,Month-to-month,No,Mailed check,70.9,70.9,Yes,No,Fiber optic,No,No,No,No,No,No
0156-FVPTA,Yes,Male,No,Yes,No,22,Month-to-month,Yes,Electronic check,54.2,1152.7,Yes,No,DSL,Yes,No,No,Yes,No,No
0164-APGRB,No,Female,No,No,No,72,Two year,Yes,Electronic check,114.9,8496.7,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0164-XAIRP,No,Female,No,No,No,24,Two year,Yes,Bank transfer (automatic),19.55,470.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0168-XZKBB,No,Female,No,Yes,No,19,Month-to-month,Yes,Electronic check,86.85,1564.4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
0174-QRVVY,No,Male,No,Yes,Yes,71,Two year,No,Credit card (automatic),25.35,1847.55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0177-PXBAT,No,Male,Sí,Yes,No,33,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
0178-CIIKR,No,Female,No,No,No,3,Month-to-month,No,Mailed check,19.95,58.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0178-SZBHO,No,Male,No,Yes,Yes,47,Month-to-month,No,Electronic check,87.2,4017.45,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
0181-RITDD,No,Male,No,Yes,Yes,62,Two year,No,Mailed check,108.15,6825.65,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0186-CAERR,No,Male,No,No,No,71,One year,Yes,Bank transfer (automatic),116.3,8309.55,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0187-QSXOE,No,Male,Sí,Yes,No,7,Month-to-month,Yes,Electronic check,89.0,605.45,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
0187-WZNAB,No,Female,No,Yes,Yes,27,Month-to-month,No,Mailed check,74.4,1972.35,Yes,No,Fiber optic,Yes,No,No,No,No,No
0188-GWFLE,No,Male,No,No,No,2,Month-to-month,No,Mailed check,20.05,33.7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0191-EQUUH,No,Female,No,No,Yes,25,Two year,No,Bank transfer (automatic),35.05,844.45,No,No phone service,DSL,Yes,No,No,Yes,No,No
0191-ZHSKZ,No,Male,Sí,No,No,30,Month-to-month,Yes,Electronic check,74.75,2111.3,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes
0193-ESZXP,Yes,Female,Sí,Yes,No,58,One year,Yes,Credit card (automatic),105.5,6205.5,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
0195-IESCP,Yes,Male,No,Yes,No,10,Month-to-month,Yes,Electronic check,85.25,855.3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
0196-JTUQI,No,Female,No,No,No,9,Month-to-month,Yes,Credit card (automatic),75.2,633.85,Yes,Yes,Fiber optic,No,No,No,No,No,No
0196-VULGZ,Yes,Female,Sí,Yes,No,6,Month-to-month,Yes,Electronic check,84.35,474.9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
0197-PNKNK,No,Female,No,Yes,Yes,69,One year,No,Bank transfer (automatic),84.45,5848.6,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No
0201-MIBOL,No,Female,Sí,No,No,66,Two year,Yes,Bank transfer (automatic),102.4,6471.85,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
0201-OAMXR,Yes,Female,No,No,No,70,One year,No,Credit card (automatic),115.55,8127.6,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0203-HHYIJ,Yes,Male,No,No,No,25,One year,No,Bank transfer (automatic),25.3,676.35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0206-OYVOC,No,Female,No,Yes,Yes,46,Two year,Yes,Mailed check,19.25,864.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0206-TBWLC,No,Female,No,Yes,No,54,One year,Yes,Mailed check,114.65,6049.5,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0207-MDKNV,Yes,Female,No,No,No,15,Month-to-month,No,Electronic check,105.1,1582.75,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
0208-BPQEJ,No,Female,No,Yes,Yes,12,Month-to-month,No,Bank transfer (automatic),19.4,198.1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0212-ISBBF,No,Female,No,No,No,22,Month-to-month,Yes,Electronic check,50.35,1098.85,No,No phone service,DSL,No,Yes,No,No,Yes,Yes
0214-JHPFW,No,Female,No,Yes,No,70,Two year,No,Bank transfer (automatic),57.8,4039.3,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
0215-BQKGS,No,Male,No,No,No,30,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No
0218-QNVAS,No,Male,No,Yes,Yes,71,One year,No,Bank transfer (automatic),100.55,7113.75,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
0219-QAERP,No,Male,No,Yes,No,30,One year,No,Credit card (automatic),19.8,576.65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0219-YTZUE,Yes,Male,No,Yes,Yes,4,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
0220-EBGCE,Yes,Male,No,No,No,2,Month-to-month,Yes,Electronic check,85.85,167.3,Yes,No,Fiber optic,No,No,Yes,No,No,Yes
0221-NAUXK,No,Male,No,No,Yes,10,One year,Yes,Bank transfer (automatic),19.95,219.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0221-WMXNQ,No,Male,Sí,No,No,4,Month-to-month,No,Electronic check,75.35,273.4,Yes,No,Fiber optic,Yes,No,No,No,No,No
0222-CNVPT,No,Male,Sí,No,No,52,Month-to-month,Yes,Credit card (automatic),48.8,2555.05,No,No phone service,DSL,Yes,No,No,No,Yes,Yes
0224-HJAPT,Yes,Male,No,No,No,5,Month-to-month,No,Electronic check,47.15,223.15,Yes,Yes,DSL,No,No,No,No,No,No
0224-NIJLP,No,Male,No,Yes,Yes,8,Two year,No,Mailed check,20.15,165.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0224-RLWWD,No,Female,Sí,No,No,2,Month-to-month,Yes,Electronic check,44.3,89.3,Yes,No,DSL,No,No,No,No,No,No
0225-ZORZP,No,Male,No,No,No,3,Month-to-month,No,Electronic check,84.3,235.05,Yes,No,Fiber optic,No,Yes,No,No,No,Yes
0228-MAUWC,No,Male,No,No,No,19,Month-to-month,No,Electronic check,59.55,1144.6,Yes,Yes,DSL,No,No,Yes,Yes,No,No
0229-LFJAF,No,Male,No,No,No,72,Two year,No,Bank transfer (automatic),69.65,4908.25,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No
0230-UBYPQ,No,Male,Sí,Yes,No,63,One year,No,Bank transfer (automatic),36.1,2298.9,No,No phone service,DSL,Yes,No,No,Yes,No,No
0230-WEQUW,No,Male,No,Yes,No,66,Two year,Yes,Bank transfer (automatic),56.6,3789.2,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
0231-LXVAP,Yes,Male,No,No,No,1,Month-to-month,Yes,Electronic check,75.9,75.9,Yes,No,Fiber optic,No,No,No,Yes,No,No
0233-FTHAV,No,Female,No,No,No,60,One year,Yes,Bank transfer (automatic),79.2,4765.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
0234-TEVTT,No,Female,No,Yes,Yes,48,One year,No,Credit card (automatic),45.0,2196.3,No,No phone service,DSL,Yes,No,Yes,No,No,Yes
0235-KGSLC,Yes,Female,No,No,No,1,Month-to-month,Yes,Credit card (automatic),85.55,85.55,Yes,No,Fiber optic,No,No,Yes,No,Yes,No
0236-HFWSV,Yes,Male,No,No,No,15,Month-to-month,Yes,Electronic check,93.35,1444.65,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
0237-YFUTL,No,Female,No,Yes,No,50,Month-to-month,Yes,Bank transfer (automatic),109.65,5405.8,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
0238-WHBIQ,No,Male,No,Yes,Yes,72,Two year,No,Credit card (automatic),89.7,6339.3,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0239-OXEXL,No,Female,No,No,No,46,Month-to-month,No,Mailed check,84.25,3847.6,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No
0244-LGNFY,No,Female,No,Yes,Yes,72,Two year,No,Bank transfer (automatic),92.65,6733.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0247-SLUJI,No,Male,No,Yes,Yes,1,Month-to-month,No,Mailed check,19.7,19.7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0248-IPDFW,No,Female,No,No,No,1,Month-to-month,Yes,Electronic check,50.1,50.1,Yes,Yes,DSL,No,No,No,No,No,No
0248-PGHBZ,No,Female,Sí,No,No,67,Two year,Yes,Bank transfer (automatic),92.45,6140.85,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No
0253-ZTEOB,No,Female,No,Yes,Yes,48,Two year,No,Electronic check,79.65,3870.3,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes
0254-FNMCI,No,Female,No,No,No,72,Two year,Yes,Electronic check,109.9,7624.2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0254-KCJGT,No,Male,No,Yes,No,52,One year,Yes,Credit card (automatic),81.4,4354.45,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes
0254-WWRKD,No,Female,No,Yes,Yes,67,One year,No,Credit card (automatic),50.55,3431.75,Yes,No,DSL,No,Yes,No,No,No,No
0256-LTHVJ,Yes,Female,No,Yes,Yes,28,Month-to-month,Yes,Electronic check,81.05,2227.1,Yes,No,Fiber optic,No,No,No,No,No,Yes
0257-KXZGU,No,Female,No,Yes,Yes,32,Month-to-month,No,Bank transfer (automatic),62.45,2045.55,Yes,Yes,DSL,No,Yes,Yes,No,No,No
0257-ZESQC,Yes,Female,Sí,Yes,No,27,Month-to-month,Yes,Bank transfer (automatic),75.2,1929.35,Yes,No,Fiber optic,Yes,No,No,No,No,No
0258-NOKBL,No,Male,No,No,No,3,Month-to-month,No,Electronic check,90.4,268.45,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
0259-GBZSH,Yes,Male,No,No,No,2,Month-to-month,Yes,Electronic check,85.65,181.5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
0260-ZDLGK,Yes,Female,No,No,Yes,9,Month-to-month,Yes,Mailed check,72.9,651.4,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
0263-FJTQO,No,Male,No,Yes,Yes,50,Two year,Yes,Credit card (automatic),70.5,3486.65,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No
0264-CNITK,No,Female,No,Yes,Yes,71,Two year,No,Bank transfer (automatic),20.1,1389.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0265-EDXBD,Yes,Male,Sí,Yes,No,32,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes,Yes,Fiber optic,No,No,No,No,No,No
0265-PSUAE,No,Female,No,Yes,Yes,16,Month-to-month,No,Bank transfer (automatic),100.7,1522.7,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes
0266-CLZKZ,No,Female,No,Yes,Yes,67,Two year,Yes,Bank transfer (automatic),105.65,6717.9,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
0266-GMEAO,No,Male,No,Yes,Yes,72,Two year,Yes,Credit card (automatic),114.3,8058.55,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
